holding_years,point_pattern,max_signal_score,buy_signal_threshold,score,sp500_point,vix_point,signal_count,total_return_avg,total_return_median,total_return_min,total_return_max
1,S_A__V_A,10000,1000,1050,30,35,170,-0.03454601333129274,0.04612525524488276,-0.4875848299295745,0.4143785605334869
1,S_A__V_A,10000,1000,1500,30,50,149,-0.0008640125423551698,0.07633991406999119,-0.4506507045717254,0.40251095738716813
1,S_A__V_A,10000,1000,1750,50,35,217,-0.08535666073856137,-0.16188907146158982,-0.36649298811562314,0.3294945642794551
1,S_A__V_A,10000,1000,2400,30,80,72,0.13689277135020175,0.18281197027691554,-0.3544195898893221,0.43271164270658224
1,S_A__V_A,10000,1000,2500,50,50,129,-0.09604150461770339,-0.12351156842807975,-0.48822822765102736,0.3253452139975581
1,S_A__V_A,10000,1000,2800,80,35,76,-0.10834899890664784,-0.19982096835008017,-0.33024357691639916,0.2894614448985169
1,S_A__V_A,10000,1000,3000,30,100,53,0.21026989707547608,0.2232048294975859,-0.08240791135724024,0.43562936105373384
1,S_A__V_A,10000,1000,3500,100,35,4,0.13710835054101206,0.13633690261181164,0.1294390590874266,0.14632053785299837
1,S_A__V_A,10000,1000,4000,50,80,34,0.06902999903863997,0.049513864128318485,-0.41474528694445445,0.4690458399942923
1,S_A__V_A,10000,1000,4000,80,50,134,0.08044881867805935,0.12374011361630088,-0.298598205978688,0.322417076509087
1,S_A__V_A,10000,1000,5000,50,100,53,0.331050112553505,0.32000583682736017,-0.3904746905857931,0.5250605988964177
1,S_A__V_A,10000,1000,5000,100,50,32,0.11576498124378719,0.13995239038604212,-0.22544500293820335,0.3742732415758572
1,S_A__V_A,10000,1000,6400,80,80,82,0.06981378144808448,0.14393731558461076,-0.25631135332173227,0.3091767403440693
1,S_A__V_A,10000,1000,8000,80,100,31,0.1355525733676953,0.13312877426719583,-0.22920351429200503,0.5371450626511303
1,S_A__V_A,10000,1000,8000,100,80,102,0.1982195960746061,0.22433979434486562,-0.2670387484198299,0.40727756346652066
1,S_A__V_A,10000,1000,10000,100,100,224,0.2739793626222522,0.275616785460156,-0.26495385875029576,0.7477966345823344
1,S_A__V_B,10000,1000,1500,30,50,149,-0.0008640125423551698,0.07633991406999119,-0.4506507045717254,0.40251095738716813
1,S_A__V_B,10000,1000,2400,30,80,72,0.13689277135020175,0.18281197027691554,-0.3544195898893221,0.43271164270658224
1,S_A__V_B,10000,1000,2500,50,50,129,-0.09604150461770339,-0.12351156842807975,-0.48822822765102736,0.3253452139975581
1,S_A__V_B,10000,1000,3000,30,100,53,0.21026989707547608,0.2232048294975859,-0.08240791135724024,0.43562936105373384
1,S_A__V_B,10000,1000,4000,50,80,34,0.06902999903863997,0.049513864128318485,-0.41474528694445445,0.4690458399942923
1,S_A__V_B,10000,1000,4000,80,50,134,0.08044881867805935,0.12374011361630088,-0.298598205978688,0.322417076509087
1,S_A__V_B,10000,1000,5000,50,100,53,0.331050112553505,0.32000583682736017,-0.3904746905857931,0.5250605988964177
1,S_A__V_B,10000,1000,5000,100,50,32,0.11576498124378719,0.13995239038604212,-0.22544500293820335,0.3742732415758572
1,S_A__V_B,10000,1000,6400,80,80,82,0.06981378144808448,0.14393731558461076,-0.25631135332173227,0.3091767403440693
1,S_A__V_B,10000,1000,8000,80,100,31,0.1355525733676953,0.13312877426719583,-0.22920351429200503,0.5371450626511303
1,S_A__V_B,10000,1000,8000,100,80,102,0.1982195960746061,0.22433979434486562,-0.2670387484198299,0.40727756346652066
1,S_A__V_B,10000,1000,10000,100,100,224,0.2739793626222522,0.275616785460156,-0.26495385875029576,0.7477966345823344
1,S_A__V_C,10000,1000,1500,50,30,129,-0.09604150461770339,-0.12351156842807975,-0.48822822765102736,0.3253452139975581
1,S_A__V_C,10000,1000,2100,30,70,72,0.13689277135020175,0.18281197027691554,-0.3544195898893221,0.43271164270658224
1,S_A__V_C,10000,1000,2400,80,30,134,0.08044881867805935,0.12374011361630088,-0.298598205978688,0.322417076509087
1,S_A__V_C,10000,1000,3000,30,100,53,0.21026989707547608,0.2232048294975859,-0.08240791135724024,0.43562936105373384
1,S_A__V_C,10000,1000,3000,100,30,32,0.11576498124378719,0.13995239038604212,-0.22544500293820335,0.3742732415758572
1,S_A__V_C,10000,1000,3500,50,70,34,0.06902999903863997,0.049513864128318485,-0.41474528694445445,0.4690458399942923
1,S_A__V_C,10000,1000,5000,50,100,53,0.331050112553505,0.32000583682736017,-0.3904746905857931,0.5250605988964177
1,S_A__V_C,10000,1000,5600,80,70,82,0.06981378144808448,0.14393731558461076,-0.25631135332173227,0.3091767403440693
1,S_A__V_C,10000,1000,7000,100,70,102,0.1982195960746061,0.22433979434486562,-0.2670387484198299,0.40727756346652066
1,S_A__V_C,10000,1000,8000,80,100,31,0.1355525733676953,0.13312877426719583,-0.22920351429200503,0.5371450626511303
1,S_A__V_C,10000,1000,10000,100,100,224,0.2739793626222522,0.275616785460156,-0.26495385875029576,0.7477966345823344
1,S_A__V_D,10000,1000,1500,30,50,72,0.13689277135020175,0.18281197027691554,-0.3544195898893221,0.43271164270658224
1,S_A__V_D,10000,1000,2500,50,50,34,0.06902999903863997,0.049513864128318485,-0.41474528694445445,0.4690458399942923
1,S_A__V_D,10000,1000,3000,30,100,53,0.21026989707547608,0.2232048294975859,-0.08240791135724024,0.43562936105373384
1,S_A__V_D,10000,1000,4000,80,50,82,0.06981378144808448,0.14393731558461076,-0.25631135332173227,0.3091767403440693
1,S_A__V_D,10000,1000,5000,50,100,53,0.331050112553505,0.32000583682736017,-0.3904746905857931,0.5250605988964177
1,S_A__V_D,10000,1000,5000,100,50,102,0.1982195960746061,0.22433979434486562,-0.2670387484198299,0.40727756346652066
1,S_A__V_D,10000,1000,8000,80,100,31,0.1355525733676953,0.13312877426719583,-0.22920351429200503,0.5371450626511303
1,S_A__V_D,10000,1000,10000,100,100,224,0.2739793626222522,0.275616785460156,-0.26495385875029576,0.7477966345823344
1,S_A__V_E,10000,1000,2400,30,80,72,0.13689277135020175,0.18281197027691554,-0.3544195898893221,0.43271164270658224
1,S_A__V_E,10000,1000,3000,30,100,53,0.21026989707547608,0.2232048294975859,-0.08240791135724024,0.43562936105373384
1,S_A__V_E,10000,1000,4000,50,80,34,0.06902999903863997,0.049513864128318485,-0.41474528694445445,0.4690458399942923
1,S_A__V_E,10000,1000,5000,50,100,53,0.331050112553505,0.32000583682736017,-0.3904746905857931,0.5250605988964177
1,S_A__V_E,10000,1000,6400,80,80,82,0.06981378144808448,0.14393731558461076,-0.25631135332173227,0.3091767403440693
1,S_A__V_E,10000,1000,8000,80,100,31,0.1355525733676953,0.13312877426719583,-0.22920351429200503,0.5371450626511303
1,S_A__V_E,10000,1000,8000,100,80,102,0.1982195960746061,0.22433979434486562,-0.2670387484198299,0.40727756346652066
1,S_A__V_E,10000,1000,10000,100,100,224,0.2739793626222522,0.275616785460156,-0.26495385875029576,0.7477966345823344
1,S_B__V_A,6000,600,700,20,35,217,-0.08535666073856137,-0.16188907146158982,-0.36649298811562314,0.3294945642794551
1,S_B__V_A,6000,600,1000,20,50,129,-0.09604150461770339,-0.12351156842807975,-0.48822822765102736,0.3253452139975581
1,S_B__V_A,6000,600,1400,40,35,76,-0.10834899890664784,-0.19982096835008017,-0.33024357691639916,0.2894614448985169
1,S_B__V_A,6000,600,1600,20,80,34,0.06902999903863997,0.049513864128318485,-0.41474528694445445,0.4690458399942923
1,S_B__V_A,6000,600,2000,20,100,53,0.331050112553505,0.32000583682736017,-0.3904746905857931,0.5250605988964177
1,S_B__V_A,6000,600,2000,40,50,134,0.08044881867805935,0.12374011361630088,-0.298598205978688,0.322417076509087
1,S_B__V_A,6000,600,2100,60,35,4,0.13710835054101206,0.13633690261181164,0.1294390590874266,0.14632053785299837
1,S_B__V_A,6000,600,3000,60,50,32,0.11576498124378719,0.13995239038604212,-0.22544500293820335,0.3742732415758572
1,S_B__V_A,6000,600,3200,40,80,82,0.06981378144808448,0.14393731558461076,-0.25631135332173227,0.3091767403440693
1,S_B__V_A,6000,600,4000,40,100,31,0.1355525733676953,0.13312877426719583,-0.22920351429200503,0.5371450626511303
1,S_B__V_A,6000,600,4800,60,80,102,0.1982195960746061,0.22433979434486562,-0.2670387484198299,0.40727756346652066
1,S_B__V_A,6000,600,6000,60,100,224,0.2739793626222522,0.275616785460156,-0.26495385875029576,0.7477966345823344
1,S_B__V_B,6000,600,1000,20,50,129,-0.09604150461770339,-0.12351156842807975,-0.48822822765102736,0.3253452139975581
1,S_B__V_B,6000,600,1600,20,80,34,0.06902999903863997,0.049513864128318485,-0.41474528694445445,0.4690458399942923
1,S_B__V_B,6000,600,2000,20,100,53,0.331050112553505,0.32000583682736017,-0.3904746905857931,0.5250605988964177
1,S_B__V_B,6000,600,2000,40,50,134,0.08044881867805935,0.12374011361630088,-0.298598205978688,0.322417076509087
1,S_B__V_B,6000,600,3000,60,50,32,0.11576498124378719,0.13995239038604212,-0.22544500293820335,0.3742732415758572
1,S_B__V_B,6000,600,3200,40,80,82,0.06981378144808448,0.14393731558461076,-0.25631135332173227,0.3091767403440693
1,S_B__V_B,6000,600,4000,40,100,31,0.1355525733676953,0.13312877426719583,-0.22920351429200503,0.5371450626511303
1,S_B__V_B,6000,600,4800,60,80,102,0.1982195960746061,0.22433979434486562,-0.2670387484198299,0.40727756346652066
1,S_B__V_B,6000,600,6000,60,100,224,0.2739793626222522,0.275616785460156,-0.26495385875029576,0.7477966345823344
1,S_B__V_C,6000,600,600,20,30,129,-0.09604150461770339,-0.12351156842807975,-0.48822822765102736,0.3253452139975581
1,S_B__V_C,6000,600,1200,40,30,134,0.08044881867805935,0.12374011361630088,-0.298598205978688,0.322417076509087
1,S_B__V_C,6000,600,1400,20,70,34,0.06902999903863997,0.049513864128318485,-0.41474528694445445,0.4690458399942923
1,S_B__V_C,6000,600,1800,60,30,32,0.11576498124378719,0.13995239038604212,-0.22544500293820335,0.3742732415758572
1,S_B__V_C,6000,600,2000,20,100,53,0.331050112553505,0.32000583682736017,-0.3904746905857931,0.5250605988964177
1,S_B__V_C,6000,600,2800,40,70,82,0.06981378144808448,0.14393731558461076,-0.25631135332173227,0.3091767403440693
1,S_B__V_C,6000,600,4000,40,100,31,0.1355525733676953,0.13312877426719583,-0.22920351429200503,0.5371450626511303
1,S_B__V_C,6000,600,4200,60,70,102,0.1982195960746061,0.22433979434486562,-0.2670387484198299,0.40727756346652066
1,S_B__V_C,6000,600,6000,60,100,224,0.2739793626222522,0.275616785460156,-0.26495385875029576,0.7477966345823344
1,S_B__V_D,6000,600,1000,20,50,34,0.06902999903863997,0.049513864128318485,-0.41474528694445445,0.4690458399942923
1,S_B__V_D,6000,600,2000,20,100,53,0.331050112553505,0.32000583682736017,-0.3904746905857931,0.5250605988964177
1,S_B__V_D,6000,600,2000,40,50,82,0.06981378144808448,0.14393731558461076,-0.25631135332173227,0.3091767403440693
1,S_B__V_D,6000,600,3000,60,50,102,0.1982195960746061,0.22433979434486562,-0.2670387484198299,0.40727756346652066
1,S_B__V_D,6000,600,4000,40,100,31,0.1355525733676953,0.13312877426719583,-0.22920351429200503,0.5371450626511303
1,S_B__V_D,6000,600,6000,60,100,224,0.2739793626222522,0.275616785460156,-0.26495385875029576,0.7477966345823344
1,S_B__V_E,6000,600,1600,20,80,34,0.06902999903863997,0.049513864128318485,-0.41474528694445445,0.4690458399942923
1,S_B__V_E,6000,600,2000,20,100,53,0.331050112553505,0.32000583682736017,-0.3904746905857931,0.5250605988964177
1,S_B__V_E,6000,600,3200,40,80,82,0.06981378144808448,0.14393731558461076,-0.25631135332173227,0.3091767403440693
1,S_B__V_E,6000,600,4000,40,100,31,0.1355525733676953,0.13312877426719583,-0.22920351429200503,0.5371450626511303
1,S_B__V_E,6000,600,4800,60,80,102,0.1982195960746061,0.22433979434486562,-0.2670387484198299,0.40727756346652066
1,S_B__V_E,6000,600,6000,60,100,224,0.2739793626222522,0.275616785460156,-0.26495385875029576,0.7477966345823344
1,S_C__V_A,4000,400,500,10,50,129,-0.09604150461770339,-0.12351156842807975,-0.48822822765102736,0.3253452139975581
1,S_C__V_A,4000,400,800,10,80,34,0.06902999903863997,0.049513864128318485,-0.41474528694445445,0.4690458399942923
1,S_C__V_A,4000,400,875,25,35,76,-0.10834899890664784,-0.19982096835008017,-0.33024357691639916,0.2894614448985169
1,S_C__V_A,4000,400,1000,10,100,53,0.331050112553505,0.32000583682736017,-0.3904746905857931,0.5250605988964177
1,S_C__V_A,4000,400,1250,25,50,134,0.08044881867805935,0.12374011361630088,-0.298598205978688,0.322417076509087
1,S_C__V_A,4000,400,1400,40,35,4,0.13710835054101206,0.13633690261181164,0.1294390590874266,0.14632053785299837
1,S_C__V_A,4000,400,2000,25,80,82,0.06981378144808448,0.14393731558461076,-0.25631135332173227,0.3091767403440693
1,S_C__V_A,4000,400,2000,40,50,32,0.11576498124378719,0.13995239038604212,-0.22544500293820335,0.3742732415758572
1,S_C__V_A,4000,400,2500,25,100,31,0.1355525733676953,0.13312877426719583,-0.22920351429200503,0.5371450626511303
1,S_C__V_A,4000,400,3200,40,80,102,0.1982195960746061,0.22433979434486562,-0.2670387484198299,0.40727756346652066
1,S_C__V_A,4000,400,4000,40,100,224,0.2739793626222522,0.275616785460156,-0.26495385875029576,0.7477966345823344
1,S_C__V_B,4000,400,500,10,50,129,-0.09604150461770339,-0.12351156842807975,-0.48822822765102736,0.3253452139975581
1,S_C__V_B,4000,400,800,10,80,34,0.06902999903863997,0.049513864128318485,-0.41474528694445445,0.4690458399942923
1,S_C__V_B,4000,400,1000,10,100,53,0.331050112553505,0.32000583682736017,-0.3904746905857931,0.5250605988964177
1,S_C__V_B,4000,400,1250,25,50,134,0.08044881867805935,0.12374011361630088,-0.298598205978688,0.322417076509087
1,S_C__V_B,4000,400,2000,25,80,82,0.06981378144808448,0.14393731558461076,-0.25631135332173227,0.3091767403440693
1,S_C__V_B,4000,400,2000,40,50,32,0.11576498124378719,0.13995239038604212,-0.22544500293820335,0.3742732415758572
1,S_C__V_B,4000,400,2500,25,100,31,0.1355525733676953,0.13312877426719583,-0.22920351429200503,0.5371450626511303
1,S_C__V_B,4000,400,3200,40,80,102,0.1982195960746061,0.22433979434486562,-0.2670387484198299,0.40727756346652066
1,S_C__V_B,4000,400,4000,40,100,224,0.2739793626222522,0.275616785460156,-0.26495385875029576,0.7477966345823344
1,S_C__V_C,4000,400,700,10,70,34,0.06902999903863997,0.049513864128318485,-0.41474528694445445,0.4690458399942923
1,S_C__V_C,4000,400,750,25,30,134,0.08044881867805935,0.12374011361630088,-0.298598205978688,0.322417076509087
1,S_C__V_C,4000,400,1000,10,100,53,0.331050112553505,0.32000583682736017,-0.3904746905857931,0.5250605988964177
1,S_C__V_C,4000,400,1200,40,30,32,0.11576498124378719,0.13995239038604212,-0.22544500293820335,0.3742732415758572
1,S_C__V_C,4000,400,1750,25,70,82,0.06981378144808448,0.14393731558461076,-0.25631135332173227,0.3091767403440693
1,S_C__V_C,4000,400,2500,25,100,31,0.1355525733676953,0.13312877426719583,-0.22920351429200503,0.5371450626511303
1,S_C__V_C,4000,400,2800,40,70,102,0.1982195960746061,0.22433979434486562,-0.2670387484198299,0.40727756346652066
1,S_C__V_C,4000,400,4000,40,100,224,0.2739793626222522,0.275616785460156,-0.26495385875029576,0.7477966345823344
1,S_C__V_D,4000,400,500,10,50,34,0.06902999903863997,0.049513864128318485,-0.41474528694445445,0.4690458399942923
1,S_C__V_D,4000,400,1000,10,100,53,0.331050112553505,0.32000583682736017,-0.3904746905857931,0.5250605988964177
1,S_C__V_D,4000,400,1250,25,50,82,0.06981378144808448,0.14393731558461076,-0.25631135332173227,0.3091767403440693
1,S_C__V_D,4000,400,2000,40,50,102,0.1982195960746061,0.22433979434486562,-0.2670387484198299,0.40727756346652066
1,S_C__V_D,4000,400,2500,25,100,31,0.1355525733676953,0.13312877426719583,-0.22920351429200503,0.5371450626511303
1,S_C__V_D,4000,400,4000,40,100,224,0.2739793626222522,0.275616785460156,-0.26495385875029576,0.7477966345823344
1,S_C__V_E,4000,400,800,10,80,34,0.06902999903863997,0.049513864128318485,-0.41474528694445445,0.4690458399942923
1,S_C__V_E,4000,400,1000,10,100,53,0.331050112553505,0.32000583682736017,-0.3904746905857931,0.5250605988964177
1,S_C__V_E,4000,400,2000,25,80,82,0.06981378144808448,0.14393731558461076,-0.25631135332173227,0.3091767403440693
1,S_C__V_E,4000,400,2500,25,100,31,0.1355525733676953,0.13312877426719583,-0.22920351429200503,0.5371450626511303
1,S_C__V_E,4000,400,3200,40,80,102,0.1982195960746061,0.22433979434486562,-0.2670387484198299,0.40727756346652066
1,S_C__V_E,4000,400,4000,40,100,224,0.2739793626222522,0.275616785460156,-0.26495385875029576,0.7477966345823344
1,S_D__V_A,3000,300,1050,30,35,297,-0.08824406025255557,-0.17869012679470897,-0.36649298811562314,0.3294945642794551
1,S_D__V_A,3000,300,1500,30,50,295,0.007102600023652224,0.07055772989080689,-0.48822822765102736,0.3742732415758572
1,S_D__V_A,3000,300,2400,30,80,218,0.12977132498012162,0.17042581818144575,-0.41474528694445445,0.4690458399942923
1,S_D__V_A,3000,300,3000,30,100,308,0.2698674122309052,0.27617972003790514,-0.3904746905857931,0.7477966345823344
1,S_D__V_B,3000,300,1500,30,50,295,0.007102600023652224,0.07055772989080689,-0.48822822765102736,0.3742732415758572
1,S_D__V_B,3000,300,2400,30,80,218,0.12977132498012162,0.17042581818144575,-0.41474528694445445,0.4690458399942923
1,S_D__V_B,3000,300,3000,30,100,308,0.2698674122309052,0.27617972003790514,-0.3904746905857931,0.7477966345823344
1,S_D__V_C,3000,300,900,30,30,295,0.007102600023652224,0.07055772989080689,-0.48822822765102736,0.3742732415758572
1,S_D__V_C,3000,300,2100,30,70,218,0.12977132498012162,0.17042581818144575,-0.41474528694445445,0.4690458399942923
1,S_D__V_C,3000,300,3000,30,100,308,0.2698674122309052,0.27617972003790514,-0.3904746905857931,0.7477966345823344
1,S_D__V_D,3000,300,1500,30,50,218,0.12977132498012162,0.17042581818144575,-0.41474528694445445,0.4690458399942923
1,S_D__V_D,3000,300,3000,30,100,308,0.2698674122309052,0.27617972003790514,-0.3904746905857931,0.7477966345823344
1,S_D__V_E,3000,300,2400,30,80,218,0.12977132498012162,0.17042581818144575,-0.41474528694445445,0.4690458399942923
1,S_D__V_E,3000,300,3000,30,100,308,0.2698674122309052,0.27617972003790514,-0.3904746905857931,0.7477966345823344
1,S_E__V_A,5000,500,1050,30,35,76,-0.10834899890664784,-0.19982096835008017,-0.33024357691639916,0.2894614448985169
1,S_E__V_A,5000,500,1500,30,50,134,0.08044881867805935,0.12374011361630088,-0.298598205978688,0.322417076509087
1,S_E__V_A,5000,500,1750,50,35,4,0.13710835054101206,0.13633690261181164,0.1294390590874266,0.14632053785299837
1,S_E__V_A,5000,500,2400,30,80,82,0.06981378144808448,0.14393731558461076,-0.25631135332173227,0.3091767403440693
1,S_E__V_A,5000,500,2500,50,50,32,0.11576498124378719,0.13995239038604212,-0.22544500293820335,0.3742732415758572
1,S_E__V_A,5000,500,3000,30,100,31,0.1355525733676953,0.13312877426719583,-0.22920351429200503,0.5371450626511303
1,S_E__V_A,5000,500,4000,50,80,102,0.1982195960746061,0.22433979434486562,-0.2670387484198299,0.40727756346652066
1,S_E__V_A,5000,500,5000,50,100,224,0.2739793626222522,0.275616785460156,-0.26495385875029576,0.7477966345823344
1,S_E__V_B,5000,500,1500,30,50,134,0.08044881867805935,0.12374011361630088,-0.298598205978688,0.322417076509087
1,S_E__V_B,5000,500,2400,30,80,82,0.06981378144808448,0.14393731558461076,-0.25631135332173227,0.3091767403440693
1,S_E__V_B,5000,500,2500,50,50,32,0.11576498124378719,0.13995239038604212,-0.22544500293820335,0.3742732415758572
1,S_E__V_B,5000,500,3000,30,100,31,0.1355525733676953,0.13312877426719583,-0.22920351429200503,0.5371450626511303
1,S_E__V_B,5000,500,4000,50,80,102,0.1982195960746061,0.22433979434486562,-0.2670387484198299,0.40727756346652066
1,S_E__V_B,5000,500,5000,50,100,224,0.2739793626222522,0.275616785460156,-0.26495385875029576,0.7477966345823344
1,S_E__V_C,5000,500,900,30,30,134,0.08044881867805935,0.12374011361630088,-0.298598205978688,0.322417076509087
1,S_E__V_C,5000,500,1500,50,30,32,0.11576498124378719,0.13995239038604212,-0.22544500293820335,0.3742732415758572
1,S_E__V_C,5000,500,2100,30,70,82,0.06981378144808448,0.14393731558461076,-0.25631135332173227,0.3091767403440693
1,S_E__V_C,5000,500,3000,30,100,31,0.1355525733676953,0.13312877426719583,-0.22920351429200503,0.5371450626511303
1,S_E__V_C,5000,500,3500,50,70,102,0.1982195960746061,0.22433979434486562,-0.2670387484198299,0.40727756346652066
1,S_E__V_C,5000,500,5000,50,100,224,0.2739793626222522,0.275616785460156,-0.26495385875029576,0.7477966345823344
1,S_E__V_D,5000,500,1500,30,50,82,0.06981378144808448,0.14393731558461076,-0.25631135332173227,0.3091767403440693
1,S_E__V_D,5000,500,2500,50,50,102,0.1982195960746061,0.22433979434486562,-0.2670387484198299,0.40727756346652066
1,S_E__V_D,5000,500,3000,30,100,31,0.1355525733676953,0.13312877426719583,-0.22920351429200503,0.5371450626511303
1,S_E__V_D,5000,500,5000,50,100,224,0.2739793626222522,0.275616785460156,-0.26495385875029576,0.7477966345823344
1,S_E__V_E,5000,500,2400,30,80,82,0.06981378144808448,0.14393731558461076,-0.25631135332173227,0.3091767403440693
1,S_E__V_E,5000,500,3000,30,100,31,0.1355525733676953,0.13312877426719583,-0.22920351429200503,0.5371450626511303
1,S_E__V_E,5000,500,4000,50,80,102,0.1982195960746061,0.22433979434486562,-0.2670387484198299,0.40727756346652066
1,S_E__V_E,5000,500,5000,50,100,224,0.2739793626222522,0.275616785460156,-0.26495385875029576,0.7477966345823344
1,S_F__V_A,100,10,35,1,35,297,-0.08824406025255557,-0.17869012679470897,-0.36649298811562314,0.3294945642794551
1,S_F__V_A,100,10,50,1,50,295,0.007102600023652224,0.07055772989080689,-0.48822822765102736,0.3742732415758572
1,S_F__V_A,100,10,80,1,80,218,0.12977132498012162,0.17042581818144575,-0.41474528694445445,0.4690458399942923
1,S_F__V_A,100,10,100,1,100,308,0.2698674122309052,0.27617972003790514,-0.3904746905857931,0.7477966345823344
1,S_F__V_B,100,10,50,1,50,295,0.007102600023652224,0.07055772989080689,-0.48822822765102736,0.3742732415758572
1,S_F__V_B,100,10,80,1,80,218,0.12977132498012162,0.17042581818144575,-0.41474528694445445,0.4690458399942923
1,S_F__V_B,100,10,100,1,100,308,0.2698674122309052,0.27617972003790514,-0.3904746905857931,0.7477966345823344
1,S_F__V_C,100,10,30,1,30,295,0.007102600023652224,0.07055772989080689,-0.48822822765102736,0.3742732415758572
1,S_F__V_C,100,10,70,1,70,218,0.12977132498012162,0.17042581818144575,-0.41474528694445445,0.4690458399942923
1,S_F__V_C,100,10,100,1,100,308,0.2698674122309052,0.27617972003790514,-0.3904746905857931,0.7477966345823344
1,S_F__V_D,100,10,50,1,50,218,0.12977132498012162,0.17042581818144575,-0.41474528694445445,0.4690458399942923
