holding_years,point_pattern,max_signal_score,buy_signal_threshold,score,sp500_point,vix_point,signal_count,total_return_avg,total_return_median,total_return_min,total_return_max
1,S_F__V_D,100,10,100,1,100,308,0.2698674122309052,0.27617972003790514,-0.3904746905857931,0.7477966345823344
1,S_F__V_E,100,10,80,1,80,218,0.12977132498012162,0.17042581818144575,-0.41474528694445445,0.4690458399942923
1,S_F__V_E,100,10,100,1,100,308,0.2698674122309052,0.27617972003790514,-0.3904746905857931,0.7477966345823344
3,S_A__V_A,10000,1000,1050,30,35,168,0.28246379321111803,0.36285141879635996,-0.30953109027225356,0.8932281768106032
3,S_A__V_A,10000,1000,1500,30,50,145,0.21610080609948934,0.3880841020956547,-0.35860682390026966,0.9109572405942059
3,S_A__V_A,10000,1000,1750,50,35,217,0.1747013464906197,0.06066090838771987,-0.15862755333571443,0.8124654362251311
3,S_A__V_A,10000,1000,2400,30,80,66,0.4212110181882835,0.4280571455403538,-0.34744505054468033,0.7418688293892661
3,S_A__V_A,10000,1000,2500,50,50,129,0.2101663099986422,0.05418321680468785,-0.18636283311014923,0.9594672428431814
3,S_A__V_A,10000,1000,2800,80,35,76,0.11103434745739066,-0.061392988465350185,-0.1155596569990508,0.8253604833587151
3,S_A__V_A,10000,1000,3000,30,100,49,0.5328500723943419,0.5469021267361112,0.3368784249751311,0.7297021188814938
3,S_A__V_A,10000,1000,3500,100,35,4,0.3941561544388094,0.39721730086149787,0.3666544587213969,0.415535557310845
3,S_A__V_A,10000,1000,4000,50,80,34,0.40854849704928864,0.48682947314761604,-0.18618956245178508,0.9255232310942367
3,S_A__V_A,10000,1000,4000,80,50,134,0.3440612804339634,0.39124767898977486,-0.08939180070246644,0.841981997508773
3,S_A__V_A,10000,1000,5000,50,100,49,0.5602666672056558,0.49423264622487495,-0.015001933750238505,0.9415609823759097
3,S_A__V_A,10000,1000,5000,100,50,32,0.3624681377779669,0.4359393863356029,-0.0346188948665177,0.5232926929323967
3,S_A__V_A,10000,1000,6400,80,80,82,0.3645886135106036,0.3395419209408893,-0.07779339819845232,0.8448399042476857
3,S_A__V_A,10000,1000,8000,80,100,31,0.32466489338324883,0.361352103636319,-0.04358613579061543,1.037850258346066
3,S_A__V_A,10000,1000,8000,100,80,102,0.42213673146479413,0.4876768876021176,-0.04132604969711051,0.8653565470800111
3,S_A__V_A,10000,1000,10000,100,100,224,0.48211348294751344,0.4731980210450152,-0.05325312645746094,1.0263254190533826
3,S_A__V_B,10000,1000,1500,30,50,145,0.21610080609948934,0.3880841020956547,-0.35860682390026966,0.9109572405942059
3,S_A__V_B,10000,1000,2400,30,80,66,0.4212110181882835,0.4280571455403538,-0.34744505054468033,0.7418688293892661
3,S_A__V_B,10000,1000,2500,50,50,129,0.2101663099986422,0.05418321680468785,-0.18636283311014923,0.9594672428431814
3,S_A__V_B,10000,1000,3000,30,100,49,0.5328500723943419,0.5469021267361112,0.3368784249751311,0.7297021188814938
3,S_A__V_B,10000,1000,4000,50,80,34,0.40854849704928864,0.48682947314761604,-0.18618956245178508,0.9255232310942367
3,S_A__V_B,10000,1000,4000,80,50,134,0.3440612804339634,0.39124767898977486,-0.08939180070246644,0.841981997508773
3,S_A__V_B,10000,1000,5000,50,100,49,0.5602666672056558,0.49423264622487495,-0.015001933750238505,0.9415609823759097
3,S_A__V_B,10000,1000,5000,100,50,32,0.3624681377779669,0.4359393863356029,-0.0346188948665177,0.5232926929323967
3,S_A__V_B,10000,1000,6400,80,80,82,0.3645886135106036,0.3395419209408893,-0.07779339819845232,0.8448399042476857
3,S_A__V_B,10000,1000,8000,80,100,31,0.32466489338324883,0.361352103636319,-0.04358613579061543,1.037850258346066
3,S_A__V_B,10000,1000,8000,100,80,102,0.42213673146479413,0.4876768876021176,-0.04132604969711051,0.8653565470800111
3,S_A__V_B,10000,1000,10000,100,100,224,0.48211348294751344,0.4731980210450152,-0.05325312645746094,1.0263254190533826
3,S_A__V_C,10000,1000,1500,50,30,129,0.2101663099986422,0.05418321680468785,-0.18636283311014923,0.9594672428431814
3,S_A__V_C,10000,1000,2100,30,70,66,0.4212110181882835,0.4280571455403538,-0.34744505054468033,0.7418688293892661
3,S_A__V_C,10000,1000,2400,80,30,134,0.3440612804339634,0.39124767898977486,-0.08939180070246644,0.841981997508773
3,S_A__V_C,10000,1000,3000,30,100,49,0.5328500723943419,0.5469021267361112,0.3368784249751311,0.7297021188814938
3,S_A__V_C,10000,1000,3000,100,30,32,0.3624681377779669,0.4359393863356029,-0.0346188948665177,0.5232926929323967
3,S_A__V_C,10000,1000,3500,50,70,34,0.40854849704928864,0.48682947314761604,-0.18618956245178508,0.9255232310942367
3,S_A__V_C,10000,1000,5000,50,100,49,0.5602666672056558,0.49423264622487495,-0.015001933750238505,0.9415609823759097
3,S_A__V_C,10000,1000,5600,80,70,82,0.3645886135106036,0.3395419209408893,-0.07779339819845232,0.8448399042476857
3,S_A__V_C,10000,1000,7000,100,70,102,0.42213673146479413,0.4876768876021176,-0.04132604969711051,0.8653565470800111
3,S_A__V_C,10000,1000,8000,80,100,31,0.32466489338324883,0.361352103636319,-0.04358613579061543,1.037850258346066
3,S_A__V_C,10000,1000,10000,100,100,224,0.48211348294751344,0.4731980210450152,-0.05325312645746094,1.0263254190533826
3,S_A__V_D,10000,1000,1500,30,50,66,0.4212110181882835,0.4280571455403538,-0.34744505054468033,0.7418688293892661
3,S_A__V_D,10000,1000,2500,50,50,34,0.40854849704928864,0.48682947314761604,-0.18618956245178508,0.9255232310942367
3,S_A__V_D,10000,1000,3000,30,100,49,0.5328500723943419,0.5469021267361112,0.3368784249751311,0.7297021188814938
3,S_A__V_D,10000,1000,4000,80,50,82,0.3645886135106036,0.3395419209408893,-0.07779339819845232,0.8448399042476857
3,S_A__V_D,10000,1000,5000,50,100,49,0.5602666672056558,0.49423264622487495,-0.015001933750238505,0.9415609823759097
3,S_A__V_D,10000,1000,5000,100,50,102,0.42213673146479413,0.4876768876021176,-0.04132604969711051,0.8653565470800111
3,S_A__V_D,10000,1000,8000,80,100,31,0.32466489338324883,0.361352103636319,-0.04358613579061543,1.037850258346066
3,S_A__V_D,10000,1000,10000,100,100,224,0.48211348294751344,0.4731980210450152,-0.05325312645746094,1.0263254190533826
3,S_A__V_E,10000,1000,2400,30,80,66,0.4212110181882835,0.4280571455403538,-0.34744505054468033,0.7418688293892661
3,S_A__V_E,10000,1000,3000,30,100,49,0.5328500723943419,0.5469021267361112,0.3368784249751311,0.7297021188814938
3,S_A__V_E,10000,1000,4000,50,80,34,0.40854849704928864,0.48682947314761604,-0.18618956245178508,0.9255232310942367
3,S_A__V_E,10000,1000,5000,50,100,49,0.5602666672056558,0.49423264622487495,-0.015001933750238505,0.9415609823759097
3,S_A__V_E,10000,1000,6400,80,80,82,0.3645886135106036,0.3395419209408893,-0.07779339819845232,0.8448399042476857
3,S_A__V_E,10000,1000,8000,80,100,31,0.32466489338324883,0.361352103636319,-0.04358613579061543,1.037850258346066
3,S_A__V_E,10000,1000,8000,100,80,102,0.42213673146479413,0.4876768876021176,-0.04132604969711051,0.8653565470800111
3,S_A__V_E,10000,1000,10000,100,100,224,0.48211348294751344,0.4731980210450152,-0.05325312645746094,1.0263254190533826
3,S_B__V_A,6000,600,700,20,35,217,0.1747013464906197,0.06066090838771987,-0.15862755333571443,0.8124654362251311
3,S_B__V_A,6000,600,1000,20,50,129,0.2101663099986422,0.05418321680468785,-0.18636283311014923,0.9594672428431814
3,S_B__V_A,6000,600,1400,40,35,76,0.11103434745739066,-0.061392988465350185,-0.1155596569990508,0.8253604833587151
3,S_B__V_A,6000,600,1600,20,80,34,0.40854849704928864,0.48682947314761604,-0.18618956245178508,0.9255232310942367
3,S_B__V_A,6000,600,2000,20,100,49,0.5602666672056558,0.49423264622487495,-0.015001933750238505,0.9415609823759097
3,S_B__V_A,6000,600,2000,40,50,134,0.3440612804339634,0.39124767898977486,-0.08939180070246644,0.841981997508773
3,S_B__V_A,6000,600,2100,60,35,4,0.3941561544388094,0.39721730086149787,0.3666544587213969,0.415535557310845
3,S_B__V_A,6000,600,3000,60,50,32,0.3624681377779669,0.4359393863356029,-0.0346188948665177,0.5232926929323967
3,S_B__V_A,6000,600,3200,40,80,82,0.3645886135106036,0.3395419209408893,-0.07779339819845232,0.8448399042476857
3,S_B__V_A,6000,600,4000,40,100,31,0.32466489338324883,0.361352103636319,-0.04358613579061543,1.037850258346066
3,S_B__V_A,6000,600,4800,60,80,102,0.42213673146479413,0.4876768876021176,-0.04132604969711051,0.8653565470800111
3,S_B__V_A,6000,600,6000,60,100,224,0.48211348294751344,0.4731980210450152,-0.05325312645746094,1.0263254190533826
3,S_B__V_B,6000,600,1000,20,50,129,0.2101663099986422,0.05418321680468785,-0.18636283311014923,0.9594672428431814
3,S_B__V_B,6000,600,1600,20,80,34,0.40854849704928864,0.48682947314761604,-0.18618956245178508,0.9255232310942367
3,S_B__V_B,6000,600,2000,20,100,49,0.5602666672056558,0.49423264622487495,-0.015001933750238505,0.9415609823759097
3,S_B__V_B,6000,600,2000,40,50,134,0.3440612804339634,0.39124767898977486,-0.08939180070246644,0.841981997508773
3,S_B__V_B,6000,600,3000,60,50,32,0.3624681377779669,0.4359393863356029,-0.0346188948665177,0.5232926929323967
3,S_B__V_B,6000,600,3200,40,80,82,0.3645886135106036,0.3395419209408893,-0.07779339819845232,0.8448399042476857
3,S_B__V_B,6000,600,4000,40,100,31,0.32466489338324883,0.361352103636319,-0.04358613579061543,1.037850258346066
3,S_B__V_B,6000,600,4800,60,80,102,0.42213673146479413,0.4876768876021176,-0.04132604969711051,0.8653565470800111
3,S_B__V_B,6000,600,6000,60,100,224,0.48211348294751344,0.4731980210450152,-0.05325312645746094,1.0263254190533826
3,S_B__V_C,6000,600,600,20,30,129,0.2101663099986422,0.05418321680468785,-0.18636283311014923,0.9594672428431814
3,S_B__V_C,6000,600,1200,40,30,134,0.3440612804339634,0.39124767898977486,-0.08939180070246644,0.841981997508773
3,S_B__V_C,6000,600,1400,20,70,34,0.40854849704928864,0.48682947314761604,-0.18618956245178508,0.9255232310942367
3,S_B__V_C,6000,600,1800,60,30,32,0.3624681377779669,0.4359393863356029,-0.0346188948665177,0.5232926929323967
3,S_B__V_C,6000,600,2000,20,100,49,0.5602666672056558,0.49423264622487495,-0.015001933750238505,0.9415609823759097
3,S_B__V_C,6000,600,2800,40,70,82,0.3645886135106036,0.3395419209408893,-0.07779339819845232,0.8448399042476857
3,S_B__V_C,6000,600,4000,40,100,31,0.32466489338324883,0.361352103636319,-0.04358613579061543,1.037850258346066
3,S_B__V_C,6000,600,4200,60,70,102,0.42213673146479413,0.4876768876021176,-0.04132604969711051,0.8653565470800111
3,S_B__V_C,6000,600,6000,60,100,224,0.48211348294751344,0.4731980210450152,-0.05325312645746094,1.0263254190533826
3,S_B__V_D,6000,600,1000,20,50,34,0.40854849704928864,0.48682947314761604,-0.18618956245178508,0.9255232310942367
3,S_B__V_D,6000,600,2000,20,100,49,0.5602666672056558,0.49423264622487495,-0.015001933750238505,0.9415609823759097
3,S_B__V_D,6000,600,2000,40,50,82,0.3645886135106036,0.3395419209408893,-0.07779339819845232,0.8448399042476857
3,S_B__V_D,6000,600,3000,60,50,102,0.42213673146479413,0.4876768876021176,-0.04132604969711051,0.8653565470800111
3,S_B__V_D,6000,600,4000,40,100,31,0.32466489338324883,0.361352103636319,-0.04358613579061543,1.037850258346066
3,S_B__V_D,6000,600,6000,60,100,224,0.48211348294751344,0.4731980210450152,-0.05325312645746094,1.0263254190533826
3,S_B__V_E,6000,600,1600,20,80,34,0.40854849704928864,0.48682947314761604,-0.18618956245178508,0.9255232310942367
3,S_B__V_E,6000,600,2000,20,100,49,0.5602666672056558,0.49423264622487495,-0.015001933750238505,0.9415609823759097
3,S_B__V_E,6000,600,3200,40,80,82,0.3645886135106036,0.3395419209408893,-0.07779339819845232,0.8448399042476857
3,S_B__V_E,6000,600,4000,40,100,31,0.32466489338324883,0.361352103636319,-0.04358613579061543,1.037850258346066
3,S_B__V_E,6000,600,4800,60,80,102,0.42213673146479413,0.4876768876021176,-0.04132604969711051,0.8653565470800111
3,S_B__V_E,6000,600,6000,60,100,224,0.48211348294751344,0.4731980210450152,-0.05325312645746094,1.0263254190533826
3,S_C__V_A,4000,400,500,10,50,129,0.2101663099986422,0.05418321680468785,-0.18636283311014923,0.9594672428431814
3,S_C__V_A,4000,400,800,10,80,34,0.40854849704928864,0.48682947314761604,-0.18618956245178508,0.9255232310942367
3,S_C__V_A,4000,400,875,25,35,76,0.11103434745739066,-0.061392988465350185,-0.1155596569990508,0.8253604833587151
3,S_C__V_A,4000,400,1000,10,100,49,0.5602666672056558,0.49423264622487495,-0.015001933750238505,0.9415609823759097
3,S_C__V_A,4000,400,1250,25,50,134,0.3440612804339634,0.39124767898977486,-0.08939180070246644,0.841981997508773
3,S_C__V_A,4000,400,1400,40,35,4,0.3941561544388094,0.39721730086149787,0.3666544587213969,0.415535557310845
3,S_C__V_A,4000,400,2000,25,80,82,0.3645886135106036,0.3395419209408893,-0.07779339819845232,0.8448399042476857
3,S_C__V_A,4000,400,2000,40,50,32,0.3624681377779669,0.4359393863356029,-0.0346188948665177,0.5232926929323967
3,S_C__V_A,4000,400,2500,25,100,31,0.32466489338324883,0.361352103636319,-0.04358613579061543,1.037850258346066
3,S_C__V_A,4000,400,3200,40,80,102,0.42213673146479413,0.4876768876021176,-0.04132604969711051,0.8653565470800111
3,S_C__V_A,4000,400,4000,40,100,224,0.48211348294751344,0.4731980210450152,-0.05325312645746094,1.0263254190533826
3,S_C__V_B,4000,400,500,10,50,129,0.2101663099986422,0.05418321680468785,-0.18636283311014923,0.9594672428431814
3,S_C__V_B,4000,400,800,10,80,34,0.40854849704928864,0.48682947314761604,-0.18618956245178508,0.9255232310942367
3,S_C__V_B,4000,400,1000,10,100,49,0.5602666672056558,0.49423264622487495,-0.015001933750238505,0.9415609823759097
3,S_C__V_B,4000,400,1250,25,50,134,0.3440612804339634,0.39124767898977486,-0.08939180070246644,0.841981997508773
3,S_C__V_B,4000,400,2000,25,80,82,0.3645886135106036,0.3395419209408893,-0.07779339819845232,0.8448399042476857
3,S_C__V_B,4000,400,2000,40,50,32,0.3624681377779669,0.4359393863356029,-0.0346188948665177,0.5232926929323967
3,S_C__V_B,4000,400,2500,25,100,31,0.32466489338324883,0.361352103636319,-0.04358613579061543,1.037850258346066
3,S_C__V_B,4000,400,3200,40,80,102,0.42213673146479413,0.4876768876021176,-0.04132604969711051,0.8653565470800111
3,S_C__V_B,4000,400,4000,40,100,224,0.48211348294751344,0.4731980210450152,-0.05325312645746094,1.0263254190533826
3,S_C__V_C,4000,400,700,10,70,34,0.40854849704928864,0.48682947314761604,-0.18618956245178508,0.9255232310942367
3,S_C__V_C,4000,400,750,25,30,134,0.3440612804339634,0.39124767898977486,-0.08939180070246644,0.841981997508773
3,S_C__V_C,4000,400,1000,10,100,49,0.5602666672056558,0.49423264622487495,-0.015001933750238505,0.9415609823759097
3,S_C__V_C,4000,400,1200,40,30,32,0.3624681377779669,0.4359393863356029,-0.0346188948665177,0.5232926929323967
3,S_C__V_C,4000,400,1750,25,70,82,0.3645886135106036,0.3395419209408893,-0.07779339819845232,0.8448399042476857
3,S_C__V_C,4000,400,2500,25,100,31,0.32466489338324883,0.361352103636319,-0.04358613579061543,1.037850258346066
3,S_C__V_C,4000,400,2800,40,70,102,0.42213673146479413,0.4876768876021176,-0.04132604969711051,0.8653565470800111
3,S_C__V_C,4000,400,4000,40,100,224,0.48211348294751344,0.4731980210450152,-0.05325312645746094,1.0263254190533826
3,S_C__V_D,4000,400,500,10,50,34,0.40854849704928864,0.48682947314761604,-0.18618956245178508,0.9255232310942367
3,S_C__V_D,4000,400,1000,10,100,49,0.5602666672056558,0.49423264622487495,-0.015001933750238505,0.9415609823759097
3,S_C__V_D,4000,400,1250,25,50,82,0.3645886135106036,0.3395419209408893,-0.07779339819845232,0.8448399042476857
3,S_C__V_D,4000,400,2000,40,50,102,0.42213673146479413,0.4876768876021176,-0.04132604969711051,0.8653565470800111
3,S_C__V_D,4000,400,2500,25,100,31,0.32466489338324883,0.361352103636319,-0.04358613579061543,1.037850258346066
3,S_C__V_D,4000,400,4000,40,100,224,0.48211348294751344,0.4731980210450152,-0.05325312645746094,1.0263254190533826
3,S_C__V_E,4000,400,800,10,80,34,0.40854849704928864,0.48682947314761604,-0.18618956245178508,0.9255232310942367
3,S_C__V_E,4000,400,1000,10,100,49,0.5602666672056558,0.49423264622487495,-0.015001933750238505,0.9415609823759097
3,S_C__V_E,4000,400,2000,25,80,82,0.3645886135106036,0.3395419209408893,-0.07779339819845232,0.8448399042476857
3,S_C__V_E,4000,400,2500,25,100,31,0.32466489338324883,0.361352103636319,-0.04358613579061543,1.037850258346066
3,S_C__V_E,4000,400,3200,40,80,102,0.42213673146479413,0.4876768876021176,-0.04132604969711051,0.8653565470800111
3,S_C__V_E,4000,400,4000,40,100,224,0.48211348294751344,0.4731980210450152,-0.05325312645746094,1.0263254190533826
3,S_D__V_A,3000,300,1050,30,35,297,0.16136507479118317,0.04526124180146529,-0.15862755333571443,0.8253604833587151
3,S_D__V_A,3000,300,1500,30,50,295,0.2875072744978674,0.3759471111540136,-0.18636283311014923,0.9594672428431814
3,S_D__V_A,3000,300,2400,30,80,218,0.39837092576584543,0.463989426048965,-0.18618956245178508,0.9255232310942367
3,S_D__V_A,3000,300,3000,30,100,304,0.4786549295006607,0.4690073315075334,-0.05325312645746094,1.037850258346066
3,S_D__V_B,3000,300,1500,30,50,295,0.2875072744978674,0.3759471111540136,-0.18636283311014923,0.9594672428431814
3,S_D__V_B,3000,300,2400,30,80,218,0.39837092576584543,0.463989426048965,-0.18618956245178508,0.9255232310942367
3,S_D__V_B,3000,300,3000,30,100,304,0.4786549295006607,0.4690073315075334,-0.05325312645746094,1.037850258346066
3,S_D__V_C,3000,300,900,30,30,295,0.2875072744978674,0.3759471111540136,-0.18636283311014923,0.9594672428431814
3,S_D__V_C,3000,300,2100,30,70,218,0.39837092576584543,0.463989426048965,-0.18618956245178508,0.9255232310942367
3,S_D__V_C,3000,300,3000,30,100,304,0.4786549295006607,0.4690073315075334,-0.05325312645746094,1.037850258346066
3,S_D__V_D,3000,300,1500,30,50,218,0.39837092576584543,0.463989426048965,-0.18618956245178508,0.9255232310942367
3,S_D__V_D,3000,300,3000,30,100,304,0.4786549295006607,0.4690073315075334,-0.05325312645746094,1.037850258346066
3,S_D__V_E,3000,300,2400,30,80,218,0.39837092576584543,0.463989426048965,-0.18618956245178508,0.9255232310942367
3,S_D__V_E,3000,300,3000,30,100,304,0.4786549295006607,0.4690073315075334,-0.05325312645746094,1.037850258346066
3,S_E__V_A,5000,500,1050,30,35,76,0.11103434745739066,-0.061392988465350185,-0.1155596569990508,0.8253604833587151
3,S_E__V_A,5000,500,1500,30,50,134,0.3440612804339634,0.39124767898977486,-0.08939180070246644,0.841981997508773
3,S_E__V_A,5000,500,1750,50,35,4,0.3941561544388094,0.39721730086149787,0.3666544587213969,0.415535557310845
3,S_E__V_A,5000,500,2400,30,80,82,0.3645886135106036,0.3395419209408893,-0.07779339819845232,0.8448399042476857
3,S_E__V_A,5000,500,2500,50,50,32,0.3624681377779669,0.4359393863356029,-0.0346188948665177,0.5232926929323967
3,S_E__V_A,5000,500,3000,30,100,31,0.32466489338324883,0.361352103636319,-0.04358613579061543,1.037850258346066
3,S_E__V_A,5000,500,4000,50,80,102,0.42213673146479413,0.4876768876021176,-0.04132604969711051,0.8653565470800111
3,S_E__V_A,5000,500,5000,50,100,224,0.48211348294751344,0.4731980210450152,-0.05325312645746094,1.0263254190533826
3,S_E__V_B,5000,500,1500,30,50,134,0.3440612804339634,0.39124767898977486,-0.08939180070246644,0.841981997508773
3,S_E__V_B,5000,500,2400,30,80,82,0.3645886135106036,0.3395419209408893,-0.07779339819845232,0.8448399042476857
3,S_E__V_B,5000,500,2500,50,50,32,0.3624681377779669,0.4359393863356029,-0.0346188948665177,0.5232926929323967
3,S_E__V_B,5000,500,3000,30,100,31,0.32466489338324883,0.361352103636319,-0.04358613579061543,1.037850258346066
3,S_E__V_B,5000,500,4000,50,80,102,0.42213673146479413,0.4876768876021176,-0.04132604969711051,0.8653565470800111
3,S_E__V_B,5000,500,5000,50,100,224,0.48211348294751344,0.4731980210450152,-0.05325312645746094,1.0263254190533826
3,S_E__V_C,5000,500,900,30,30,134,0.3440612804339634,0.39124767898977486,-0.08939180070246644,0.841981997508773
3,S_E__V_C,5000,500,1500,50,30,32,0.3624681377779669,0.4359393863356029,-0.0346188948665177,0.5232926929323967
3,S_E__V_C,5000,500,2100,30,70,82,0.3645886135106036,0.3395419209408893,-0.07779339819845232,0.8448399042476857
3,S_E__V_C,5000,500,3000,30,100,31,0.32466489338324883,0.361352103636319,-0.04358613579061543,1.037850258346066
3,S_E__V_C,5000,500,3500,50,70,102,0.42213673146479413,0.4876768876021176,-0.04132604969711051,0.8653565470800111
3,S_E__V_C,5000,500,5000,50,100,224,0.48211348294751344,0.4731980210450152,-0.05325312645746094,1.0263254190533826
3,S_E__V_D,5000,500,1500,30,50,82,0.3645886135106036,0.3395419209408893,-0.07779339819845232,0.8448399042476857
3,S_E__V_D,5000,500,2500,50,50,102,0.42213673146479413,0.4876768876021176,-0.04132604969711051,0.8653565470800111
3,S_E__V_D,5000,500,3000,30,100,31,0.32466489338324883,0.361352103636319,-0.04358613579061543,1.037850258346066
3,S_E__V_D,5000,500,5000,50,100,224,0.48211348294751344,0.4731980210450152,-0.05325312645746094,1.0263254190533826
3,S_E__V_E,5000,500,2400,30,80,82,0.3645886135106036,0.3395419209408893,-0.07779339819845232,0.8448399042476857
3,S_E__V_E,5000,500,3000,30,100,31,0.32466489338324883,0.361352103636319,-0.04358613579061543,1.037850258346066
3,S_E__V_E,5000,500,4000,50,80,102,0.42213673146479413,0.4876768876021176,-0.04132604969711051,0.8653565470800111
3,S_E__V_E,5000,500,5000,50,100,224,0.48211348294751344,0.4731980210450152,-0.05325312645746094,1.0263254190533826
3,S_F__V_A,100,10,35,1,35,297,0.16136507479118317,0.04526124180146529,-0.15862755333571443,0.8253604833587151
3,S_F__V_A,100,10,50,1,50,295,0.2875072744978674,0.3759471111540136,-0.18636283311014923,0.9594672428431814
3,S_F__V_A,100,10,80,1,80,218,0.39837092576584543,0.463989426048965,-0.18618956245178508,0.9255232310942367
3,S_F__V_A,100,10,100,1,100,304,0.4786549295006607,0.4690073315075334,-0.05325312645746094,1.037850258346066
3,S_F__V_B,100,10,50,1,50,295,0.2875072744978674,0.3759471111540136,-0.18636283311014923,0.9594672428431814
3,S_F__V_B,100,10,80,1,80,218,0.39837092576584543,0.463989426048965,-0.18618956245178508,0.9255232310942367
3,S_F__V_B,100,10,100,1,100,304,0.4786549295006607,0.4690073315075334,-0.05325312645746094,1.037850258346066
3,S_F__V_C,100,10,30,1,30,295,0.2875072744978674,0.3759471111540136,-0.18636283311014923,0.9594672428431814
3,S_F__V_C,100,10,70,1,70,218,0.39837092576584543,0.463989426048965,-0.18618956245178508,0.9255232310942367
3,S_F__V_C,100,10,100,1,100,304,0.4786549295006607,0.4690073315075334,-0.05325312645746094,1.037850258346066
3,S_F__V_D,100,10,50,1,50,218,0.39837092576584543,0.463989426048965,-0.18618956245178508,0.9255232310942367
